"PuttsPerRound_RANKTHISWEEK_2010","PuttsPerRound_RANKLASTWEEK_2010","PuttsPerRound_PLAYERNAME_2010","PuttsPerRound_ROUNDS_2010","PuttsPerRound_AVG_2010","PuttsPerRound_TOTALPUTTS_2010","PuttsPerRound_TOTALROUNDS_2010","PuttsPerRound_LOWTOTALPUTTS_2010","stat_name","year"
1,1,"Brandt Snedeker",89,27.97,2489,89,21,"PuttsPerRound",2010
2,2,"Brian Gay",101,28.02,2746,98,21,"PuttsPerRound",2010
3,3,"Mike Weir",59,28.16,1605,57,22,"PuttsPerRound",2010
4,4,"Carl Pettersson",99,28.24,2570,91,23,"PuttsPerRound",2010
5,5,"Chad Collins",87,28.28,2234,79,21,"PuttsPerRound",2010
6,6,"Padraig Harrington",57,28.3,1585,56,24,"PuttsPerRound",2010
7,7,"Ryuji Imada",90,28.4,2556,90,23,"PuttsPerRound",2010
8,8,"Matt Bettencourt",91,28.46,2362,83,23,"PuttsPerRound",2010
8,8,"Luke Donald",71,28.46,1935,68,23,"PuttsPerRound",2010
10,10,"Greg Chalmers",93,28.53,2653,93,23,"PuttsPerRound",2010
11,11,"Aaron Baddeley",94,28.57,2686,94,22,"PuttsPerRound",2010
11,11,"Kevin Na",94,28.57,2657,93,24,"PuttsPerRound",2010
13,13,"Charlie Wi",95,28.58,2715,95,22,"PuttsPerRound",2010
14,14,"Justin Rose",78,28.64,2234,78,21,"PuttsPerRound",2010
15,15,"Retief Goosen",75,28.65,2034,71,23,"PuttsPerRound",2010
15,15,"Matt Jones",89,28.65,2550,89,20,"PuttsPerRound",2010
17,17,"Jeff Quinney",91,28.66,2493,87,24,"PuttsPerRound",2010
18,18,"Bryce Molder",84,28.69,2295,80,22,"PuttsPerRound",2010
18,18,"Steve Stricker",73,28.69,2066,72,22,"PuttsPerRound",2010
20,20,"Charley Hoffman",85,28.73,2385,83,22,"PuttsPerRound",2010
20,20,"Zach Johnson",93,28.73,2614,91,23,"PuttsPerRound",2010
20,20,"Webb Simpson",98,28.73,2816,98,23,"PuttsPerRound",2010
23,23,"Jim Furyk",76,28.74,2127,74,23,"PuttsPerRound",2010
23,23,"Matt Kuchar",97,28.74,2730,95,24,"PuttsPerRound",2010
25,25,"Tom Gillis",97,28.75,2789,97,21,"PuttsPerRound",2010
25,25,"Michael Sim",64,28.75,1811,63,23,"PuttsPerRound",2010
25,25,"Scott Verplank",74,28.75,2099,73,24,"PuttsPerRound",2010
28,28,"Chris Couch",66,28.77,1899,66,25,"PuttsPerRound",2010
28,28,"Shaun Micheel",70,28.77,1784,62,22,"PuttsPerRound",2010
28,28,"Ryan Palmer",84,28.77,2417,84,21,"PuttsPerRound",2010
31,31,"Phil Mickelson",76,28.79,2188,76,23,"PuttsPerRound",2010
31,31,"Dean Wilson",54,28.79,1382,48,22,"PuttsPerRound",2010
33,33,"JB Holmes",100,28.86,2886,100,23,"PuttsPerRound",2010
34,34,"Tim Clark",88,28.87,2454,85,23,"PuttsPerRound",2010
34,34,"Brian Davis",101,28.87,2916,101,22,"PuttsPerRound",2010
36,36,"Daniel Chopra",74,28.88,2137,74,24,"PuttsPerRound",2010
37,37,"Stuart Appleby",101,28.89,2860,99,22,"PuttsPerRound",2010
37,37,"David Toms",86,28.89,2456,85,23,"PuttsPerRound",2010
39,39,"Ian Poulter",55,28.9,1416,49,22,"PuttsPerRound",2010
40,40,"Pat Perez",90,28.91,2602,90,22,"PuttsPerRound",2010
41,41,"Matt Every",60,28.93,1678,58,24,"PuttsPerRound",2010
41,41,"Freddie Jacobson",83,28.93,2401,83,23,"PuttsPerRound",2010
41,41,"Andres Romero",73,28.93,2112,73,23,"PuttsPerRound",2010
44,44,"Nathan Green",86,28.94,2489,86,24,"PuttsPerRound",2010
45,45,"JP Hayes",79,28.95,2171,75,24,"PuttsPerRound",2010
46,46,"Charles Howell III",103,28.96,2867,99,24,"PuttsPerRound",2010
46,46,"Troy Merritt",86,28.96,2433,84,22,"PuttsPerRound",2010
48,48,"Rich Barcelo",70,28.97,1854,64,23,"PuttsPerRound",2010
49,49,"Scott McCarron",90,28.98,2608,90,23,"PuttsPerRound",2010
50,50,"Ernie Els",72,28.99,2029,70,23,"PuttsPerRound",2010
51,51,"Chris Riley",73,29,1943,67,25,"PuttsPerRound",2010
51,51,"Jerod Turner",54,29,1334,46,23,"PuttsPerRound",2010
53,53,"Brad Faxon",58,29.02,1567,54,25,"PuttsPerRound",2010
53,53,"Skip Kendall",58,29.02,1451,50,24,"PuttsPerRound",2010
53,53,"Justin Leonard",89,29.02,2554,88,25,"PuttsPerRound",2010
56,56,"Jeff Overton",89,29.04,2468,85,23,"PuttsPerRound",2010
57,57,"Ryan Moore",80,29.05,2295,79,24,"PuttsPerRound",2010
58,58,"Paul Casey",64,29.07,1686,58,23,"PuttsPerRound",2010
58,58,"Ben Crane",85,29.07,2384,82,21,"PuttsPerRound",2010
58,58,"Kevin Streelman",90,29.07,2500,86,22,"PuttsPerRound",2010
58,58,"YE Yang",72,29.07,2035,70,23,"PuttsPerRound",2010
62,62,"Paul Goydos",78,29.08,2268,78,22,"PuttsPerRound",2010
62,62,"Jeev Milkha Singh",59,29.08,1512,52,24,"PuttsPerRound",2010
64,64,"Steve Elkington",74,29.09,1978,68,23,"PuttsPerRound",2010
65,65,"Scott Piercy",88,29.11,2562,88,22,"PuttsPerRound",2010
66,66,"Michael Connell",89,29.12,2359,81,23,"PuttsPerRound",2010
67,67,"Jimmy Walker",82,29.14,2273,78,24,"PuttsPerRound",2010
68,68,"Stephen Ames",75,29.15,2157,74,22,"PuttsPerRound",2010
68,68,"Jason Day",82,29.15,2390,82,22,"PuttsPerRound",2010
68,68,"Chris DiMarco",88,29.15,2449,84,24,"PuttsPerRound",2010
71,71,"Derek Lamely",81,29.17,2188,75,24,"PuttsPerRound",2010
72,72,"Steve Flesch",78,29.19,2160,74,24,"PuttsPerRound",2010
73,73,"Blake Adams",84,29.2,2394,82,18,"PuttsPerRound",2010
74,74,"Geoff Ogilvy",62,29.22,1753,60,24,"PuttsPerRound",2010
74,74,"Chris Tidland",77,29.22,2133,73,23,"PuttsPerRound",2010
76,76,"KJ Choi",82,29.23,2280,78,23,"PuttsPerRound",2010
76,76,"Joe Ogilvie",99,29.23,2718,93,24,"PuttsPerRound",2010
76,76,"Tim Petrovic",105,29.23,3069,105,21,"PuttsPerRound",2010
79,79,"Jarrod Lyle",54,29.24,1345,46,23,"PuttsPerRound",2010
80,80,"Jason Bohn",84,29.25,2457,84,24,"PuttsPerRound",2010
81,81,"Rory McIlroy",54,29.27,1522,52,24,"PuttsPerRound",2010
81,81,"James Nitties",92,29.27,2517,86,25,"PuttsPerRound",2010
83,83,"Rickie Fowler",98,29.3,2871,98,24,"PuttsPerRound",2010
84,84,"Robert Allenby",76,29.31,2169,74,23,"PuttsPerRound",2010
84,84,"James Driscoll",78,29.31,2286,78,24,"PuttsPerRound",2010
84,84,"Bo Van Pelt",104,29.31,3048,104,24,"PuttsPerRound",2010
87,87,"Ricky Barnes",103,29.32,3020,103,23,"PuttsPerRound",2010
87,87,"George McNeill",79,29.32,2316,79,23,"PuttsPerRound",2010
87,87,"Nick Watney",91,29.32,2580,88,21,"PuttsPerRound",2010
90,90,"Spencer Levin",110,29.33,2992,102,23,"PuttsPerRound",2010
90,90,"John Mallinger",78,29.33,2229,76,24,"PuttsPerRound",2010
92,92,"Paul Stankowski",62,29.35,1585,54,25,"PuttsPerRound",2010
93,93,"Tim Herron",79,29.36,2143,73,25,"PuttsPerRound",2010
93,93,"Rory Sabbatini",79,29.36,2231,76,23,"PuttsPerRound",2010
95,95,"Dustin Johnson",83,29.37,2408,82,24,"PuttsPerRound",2010
96,96,"Lee Janzen",77,29.38,2262,77,24,"PuttsPerRound",2010
97,97,"Vaughn Taylor",87,29.39,2557,87,23,"PuttsPerRound",2010
97,97,"Steve Wheatcroft",74,29.39,1940,66,22,"PuttsPerRound",2010
99,99,"Bubba Watson",77,29.4,2264,77,22,"PuttsPerRound",2010
100,100,"Martin Flores",75,29.41,2088,71,23,"PuttsPerRound",2010
101,101,"Michael Letzig",84,29.42,2471,84,23,"PuttsPerRound",2010
102,102,"Brian Stuard",81,29.43,2207,75,25,"PuttsPerRound",2010
102,102,"Camilo Villegas",78,29.43,2119,72,23,"PuttsPerRound",2010
104,104,"Marc Leishman",87,29.44,2561,87,23,"PuttsPerRound",2010
105,105,"Kevin Johnson",62,29.46,1650,56,25,"PuttsPerRound",2010
106,106,"Alex Prugh",88,29.47,2534,86,24,"PuttsPerRound",2010
107,107,"Angel Cabrera",64,29.48,1857,63,25,"PuttsPerRound",2010
107,107,"Stewart Cink",84,29.48,2358,80,24,"PuttsPerRound",2010
107,107,"David Duval",71,29.48,2034,69,25,"PuttsPerRound",2010
107,107,"Bill Haas",87,29.48,2565,87,23,"PuttsPerRound",2010
107,107,"Tom Pernice Jr",74,29.48,1946,66,24,"PuttsPerRound",2010
112,112,"Rod Pampling",77,29.49,2271,77,24,"PuttsPerRound",2010
113,113,"Brenden Pappas",66,29.5,1829,62,24,"PuttsPerRound",2010
114,114,"Brendon de Jonge",114,29.51,3128,106,24,"PuttsPerRound",2010
115,115,"Chad Campbell",95,29.52,2775,94,23,"PuttsPerRound",2010
115,115,"Johnson Wagner",85,29.52,2391,81,22,"PuttsPerRound",2010
117,117,"Craig Bowden",56,29.53,1506,51,25,"PuttsPerRound",2010
117,117,"Steve Marino",81,29.53,2392,81,23,"PuttsPerRound",2010
117,117,"Kevin Stadler",86,29.53,2303,78,24,"PuttsPerRound",2010
120,120,"Jonathan Byrd",85,29.54,2511,85,24,"PuttsPerRound",2010
121,121,"Woody Austin",93,29.55,2630,89,25,"PuttsPerRound",2010
122,122,"Chris Wilson",65,29.56,1744,59,21,"PuttsPerRound",2010
123,123,"Vance Veazey",58,29.58,1538,52,26,"PuttsPerRound",2010
124,124,"Bob Estes",79,29.59,2338,79,24,"PuttsPerRound",2010
124,124,"John Rollins",81,29.59,2397,81,22,"PuttsPerRound",2010
126,126,"Ben Curtis",78,29.6,2309,78,24,"PuttsPerRound",2010
126,126,"Richard Johnson",90,29.6,2427,82,22,"PuttsPerRound",2010
126,126,"Hunter Mahan",85,29.6,2486,84,23,"PuttsPerRound",2010
129,129,"Cameron Beckman",68,29.61,1895,64,24,"PuttsPerRound",2010
129,129,"Ted Purdy",86,29.61,2428,82,24,"PuttsPerRound",2010
131,131,"Michael Bradley",77,29.62,2162,73,23,"PuttsPerRound",2010
131,131,"Jeff Maggert",76,29.62,2014,68,22,"PuttsPerRound",2010
131,131,"Heath Slocum",97,29.62,2755,93,24,"PuttsPerRound",2010
134,134,"Jerry Kelly",99,29.63,2815,95,24,"PuttsPerRound",2010
135,135,"Briny Baird",87,29.65,2461,83,24,"PuttsPerRound",2010
135,135,"Lucas Glover",75,29.65,2194,74,23,"PuttsPerRound",2010
135,135,"Garrett Willis",82,29.65,2313,78,23,"PuttsPerRound",2010
138,138,"Martin Laird",91,29.68,2701,91,23,"PuttsPerRound",2010
139,139,"Brent Delahoussaye",57,29.69,1514,51,24,"PuttsPerRound",2010
139,139,"Andrew McLardy",52,29.69,1425,48,24,"PuttsPerRound",2010
139,139,"Aron Price",70,29.69,1900,64,23,"PuttsPerRound",2010
139,139,"Roland Thatcher",72,29.69,2138,72,23,"PuttsPerRound",2010
143,143,"Alex Cejka",81,29.7,2346,79,23,"PuttsPerRound",2010
143,143,"JJ Henry",92,29.7,2495,84,24,"PuttsPerRound",2010
145,145,"Mark Wilson",87,29.71,2466,83,24,"PuttsPerRound",2010
146,146,"Jay Williamson",76,29.72,2021,68,24,"PuttsPerRound",2010
147,147,"DA Points",90,29.74,2677,90,23,"PuttsPerRound",2010
147,147,"Josh Teater",101,29.74,2944,99,25,"PuttsPerRound",2010
149,149,"Cliff Kresge",50,29.76,1369,46,24,"PuttsPerRound",2010
150,150,"Bill Lunde",79,29.77,2233,75,24,"PuttsPerRound",2010
150,150,"Chris Stroud",90,29.77,2441,82,22,"PuttsPerRound",2010
152,152,"John Daly",63,29.78,1638,55,23,"PuttsPerRound",2010
152,152,"Greg Kraft",52,29.78,1370,46,24,"PuttsPerRound",2010
152,152,"Will Ma Kenzie",72,29.78,2144,72,24,"PuttsPerRound",2010
152,152,"Omar Uresti",74,29.78,2025,68,25,"PuttsPerRound",2010
156,156,"Sean OHair",84,29.8,2444,82,24,"PuttsPerRound",2010
156,156,"Brett Wetterich",54,29.8,1609,54,26,"PuttsPerRound",2010
158,158,"Jason Dufner",87,29.82,2594,87,23,"PuttsPerRound",2010
159,159,"Vijay Singh",75,29.84,2208,74,24,"PuttsPerRound",2010
160,160,"David Lutterus",69,29.86,1881,63,24,"PuttsPerRound",2010
161,161,"Mathias Gronberg",61,29.87,1643,55,26,"PuttsPerRound",2010
162,162,"Sergio Garcia",58,29.88,1554,52,25,"PuttsPerRound",2010
163,163,"Joe Durant",67,29.89,1823,61,22,"PuttsPerRound",2010
163,163,"Robert Garrigus",71,29.89,1943,65,23,"PuttsPerRound",2010
163,163,"Trevor Immelman",55,29.89,1644,55,23,"PuttsPerRound",2010
166,166,"Kevin Sutherland",86,29.9,2571,86,23,"PuttsPerRound",2010
167,167,"John Merrick",109,29.94,3024,101,24,"PuttsPerRound",2010
167,167,"Brett Quigley",96,29.94,2844,95,22,"PuttsPerRound",2010
169,169,"Boo Weekley",88,29.95,2396,80,26,"PuttsPerRound",2010
170,170,"Kenny Perry",69,29.97,2038,68,24,"PuttsPerRound",2010
171,171,"Mark Calcavecchia",50,30.02,1261,42,24,"PuttsPerRound",2010
171,171,"DJ Trahan",92,30.02,2762,92,25,"PuttsPerRound",2010
173,173,"Steve Lowery",67,30.03,1892,63,24,"PuttsPerRound",2010
174,174,"Graham DeLaet",88,30.07,2466,82,25,"PuttsPerRound",2010
174,174,"Adam Scott",70,30.07,2045,68,25,"PuttsPerRound",2010
176,176,"John Senden",103,30.08,3098,103,25,"PuttsPerRound",2010
177,177,"Greg Owen",69,30.1,2077,69,24,"PuttsPerRound",2010
178,178,"Cameron Percy",73,30.13,2049,68,25,"PuttsPerRound",2010
179,179,"Garth Mulroy",53,30.18,1479,49,25,"PuttsPerRound",2010
180,180,"Justin Bolli",55,30.2,1480,49,24,"PuttsPerRound",2010
180,180,"Nicholas Thompson",88,30.2,2537,84,23,"PuttsPerRound",2010
182,182,"Henrik Bjornstad",72,30.21,1994,66,24,"PuttsPerRound",2010
183,183,"Davis Love III",79,30.24,2389,79,24,"PuttsPerRound",2010
184,184,"Rocco Mediate",71,30.28,2089,69,23,"PuttsPerRound",2010
184,184,"Charles Warren",64,30.28,1756,58,25,"PuttsPerRound",2010
186,186,"Mathew Goggin",85,30.33,2578,85,25,"PuttsPerRound",2010
187,187,"Troy Matteson",84,30.44,2557,84,25,"PuttsPerRound",2010
188,188,"Cameron Tringale",55,30.45,1492,49,25,"PuttsPerRound",2010
189,189,"Billy Mayfair",78,30.5,2135,70,26,"PuttsPerRound",2010
190,190,"Kris Blanks",91,30.6,2540,83,23,"PuttsPerRound",2010
191,191,"Roger Tambellini",77,30.71,2119,69,26,"PuttsPerRound",2010
192,192,"Jeff Gove",57,31,1581,51,26,"PuttsPerRound",2010
